award_year,focus_area,total_grants,total_funding,avg_grant_size,participants_reached,cost_per_participant
2019,College Access,1,20000,20000,169,118
2019,Test Prep,2,110000,55000,332,331
2020,Academic Support,1,75000,75000,238,315
2021,Academic Support,1,15000,15000,228,66
2021,Career Readiness,1,35000,35000,167,210
2021,College Access,1,65000,65000,179,363
2021,Leadership Development,1,30000,30000,211,142
2022,Academic Support,1,40000,40000,176,227
2022,Leadership Development,1,95000,95000,247,385
2023,Career Readiness,2,190000,95000,463,410
2023,Leadership Development,2,180000,90000,473,381
2023,Test Prep,1,95000,95000,177,537
